a_max,y_limit,omega_deg,cost_variant,r_sync,success_count,min_range,max_lateral_excursion,total_dv_mean,total_dv_std,constraint_violations_total,qp_failures_total,r_final_mean,r_final_std
0.1,150,4,B,41.0350793751468,0,150.0,314.06871819385793,2.857807062957959,0.00038268067855208766,51335,320,331.6119786280155,3.4946628814569043
0.06,30,4,B,24.62104762508808,10,0.16837469717294032,70.97280525942352,9.18994779713838,0.8072796205491668,16617,2313,0.55000038728896,2.297488456142588e-14
0.06,100,4,B,24.62104762508808,0,100.0,219.00977398029096,1.7172713927863732,0.00029884846114857104,45670,320,225.33437692981389,3.5371881936175606
0.06,150,4,B,24.62104762508808,0,150.0,330.49170788915103,1.7240602283821183,0.00012133683690677826,51337,320,348.64317276919166,3.498364744739037
0.02,30,4,B,8.207015875029361,0,30.0,80.17328398610226,0.572189217822675,0.0005068071296436184,34480,320,72.82723062464409,5.488961419196612
0.02,100,4,B,8.207015875029361,0,100.0,235.8348014144662,0.5767900080083919,2.8366710346402812e-05,45676,320,242.46244042347718,3.5410850288337565
0.02,150,4,B,8.207015875029361,0,150.0,347.1932243942034,0.5774337850646534,1.2715068083605361e-05,51342,320,365.8607557627704,3.4999672742767105
0.1,30,5,B,26.262450800093955,8,0.5499425705437494,67.39493026448477,15.939263533214618,1.524009161641369,8900,1183,0.5500152325992935,1.0970015893677811e-05
0.1,100,5,B,26.262450800093955,0,100.0,271.50124860147355,2.9054559395506536,0.0005837340348697397,57601,320,260.2698807731933,4.275032190036233
0.1,150,5,B,26.262450800093955,0,150.0,421.2970084646091,2.918474861950778,0.00022642104479003817,57607,320,409.34713439679103,4.230234467805605
0.06,30,5,B,15.757470480056371,0,30.0,79.23265987431633,1.7157904697669468,0.004955044995303249,51925,320,72.7724867086636,6.58251829328967
0.06,100,5,B,15.757470480056371,0,100.0,288.7467873134949,1.752618217818592,0.00017821192448952205,57604,320,277.5227843848089,4.280882239634615
0.06,150,5,B,15.757470480056371,0,150.0,438.65519110008296,1.7566970222111002,7.395302099661225e-05,57609,320,426.7316145412263,4.2325298399128
0.02,30,5,B,5.252490160018791,0,30.0,96.2489291044984,0.5840674744472756,0.00030119587123933955,57612,320,89.74116671588669,6.642319304396615
0.02,100,5,B,5.252490160018791,0,100.0,306.159106343253,0.5868540985217167,1.780168521680108e-05,57611,320,294.9680885051174,4.283332619667761
0.02,150,5,B,5.252490160018791,0,150.0,456.1145440873368,0.5872533359589853,8.155744480708417e-06,57611,320,444.2337209302673,4.233557436963566
